"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Cameroon","CMR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.11051865992332","7.38955504528754","8.00995616407517","8.62716458569315","9.24781527913591","9.87569398003904","10.5193852584519","10.1794709338773","11.8452029313695","9.22145211577436","13.8618934102921","13.7584945087499","14.3195935398713","19.4741864499964","15.2384513220586","25.8088549276187","6.42658687365859","16.2726806961263","16.625669053627","16.5752179696292","16.8419180268131","17.8522411016229","18.6462821772499","18.8019439426329","19.9479275373849","20.6200254676328","21.2903517214713","","",
"Congo, Dem. Rep.","COD","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","1.82021787805953","0","0","0","0","0","0","0","0","0","0","","",
"Congo, Rep.","COG","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.22366574035838","7.0338017509292","8.27017756280839","9.48815971443528","9.2451651024627","12.01091073546","13.3834710781028","10.6177776506162","16.3363517711728","17.9236328912031","24.0685788479972","22.1943374346379","24.1808564905407","","",
"Colombia","COL","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.6868215190271","73.1518726847938","73.5659019415646","74.0078121134204","74.4898747019141","70.8543240345714","75.633385104206","76.3299538902254","77.1239798364312","77.9957983010983","83.2728260455335","79.8511150774882","80.7654557049061","81.6206089701262","82.3765033762505","88.8729066335818","83.5602465786749","84.0792890373292","86.963158208504","83.7688341192997","86.236891877487","85.5032366457789","87.0779678284817","90.0737704437423","89.8921490019872","91.7902476463149","92.7619946936074","97.9300282135027","","",
"Comoros","COM","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8805397711065","22.2602337382708","24.8819028462602","27.5095246411056","30.134383202291","32.7475491876427","33.2156651303436","37.9032741438523","40.4274865113457","42.9030386778879","45.3448747731343","47.7723935335253","50.2051664414867","52.6621205254625","64.2031487043791","63.5555396172103","63.1180197772418","62.9826367681744","65.6654901501888","68.3681891063483","71.0800329403022","73.7924693854919","","",
"Cabo Verde","CPV","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.72226221019","37.2874522401101","40.1959244801465","42.4578622867217","46.076732154141","49.108200272088","52.2467810689729","55.5382071698377","65.6836621450423","62.4803430325205","67.0847821823656","71.3755532220772","75.8237160586058","80.4137535146946","85.1304806168844","89.9596396639013","","",
"Costa Rica","CRI","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.7712326857524","96.3225962693394","96.6684444924172","97.3414864661925","97.4430771349185","97.5626670154769","97.72034603628","97.7674200762137","98.1623085082144","97.0903976408454","97.2660623255549","98.1407662594094","98.4360254905349","98.2686969684613","97.6820172097513","98.4525936871228","98.8671642912083","","",
"Caribbean small states","CSS","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.3729662345865","78.4830752093827","83.3420718412439","83.3032133605965","83.1892957134047","83.8512381330952","84.9074114280278","85.4684408802231","86.3956369577001","87.1654462507048","86.7356592109735","88.2580904499732","87.3825434706457","89.5598970225954","91.9223075715503","93.1358594590615","94.0990626129604","95.7838555185213","97.1054339254332","","",
"Cuba","CUB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.8429301219951","84.7519754497431","81.4805631313566","85.9981097810438","86.6289897604568","87.1673311199568","87.6446983676713","88.117700936248","88.643793013793","89.2817984821007","90.0905568066117","91.1143468753707","92.3341312405993","93.7270253239347","95.2410837075276","96.8350095754653","98.471640769075","100","","",
"Curacao","CUW","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
